epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.9800571119785308,50.0,1.4945811410744985,11.11111111111111
2,0.8874895918369293,50.0,1.3500362147887548,11.11111111111111
3,0.7828840017318726,50.0,1.1751492510239283,11.11111111111111
4,0.6699306762218475,50.0,1.0008400996526083,11.11111111111111
5,0.5760207861661911,50.0,0.8502979854742686,11.11111111111111
6,0.4927424943447113,50.0,0.7272432148456573,11.11111111111111
7,0.4229297512769699,54.59119496855346,0.6158586213986079,79.24528301886792
8,0.37095948696136477,93.33333333333333,0.530968177318573,100.0
9,0.3252795857191086,96.22641509433963,0.4585234299302101,100.0
10,0.2909222155809402,96.66666666666667,0.40845574885606767,100.0
