epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.7036611261692914,50.79710144927536,0.604238682229754,89.61267605633803
2,0.6967695924368772,50.79710144927536,0.6294975851623106,89.61267605633803
3,0.6947280669754202,50.79710144927536,0.6561353769100887,89.61267605633803
4,0.6932354217225855,50.94202898550725,0.6692973249395129,88.73239436619718
5,0.6913399466059424,50.869565217391305,0.65245035668494,89.61267605633803
6,0.6859407899054614,51.30434782608695,0.6709650125302059,84.50704225352112
7,0.6782572933218696,56.44927536231884,0.6692247290006825,81.51408450704226
8,0.6693093519319188,62.82608695652174,0.6676767040306414,79.92957746478874
9,0.660488410429521,66.66666666666667,0.700228879989033,38.38028169014085
10,0.6538754078474912,69.71014492753623,0.6615854191108489,78.52112676056338
11,0.6443330659107729,73.33333333333333,0.666307227712282,69.8943661971831
12,0.6337163692170923,75.5072463768116,0.6695039767614552,69.36619718309859
13,0.6407011354511435,74.42028985507247,0.6679292329600159,65.3169014084507
14,0.6240376315333627,77.6086956521739,0.6683878965780768,64.08450704225352
15,0.6210862790996378,78.40579710144928,0.6751697248136493,58.978873239436616
16,0.6196061779152263,77.7536231884058,0.6586573745163393,69.71830985915493
17,0.6142516488378699,78.98550724637681,0.6591904776197084,68.13380281690141
18,0.6123462170362473,78.40579710144928,0.6511253412340728,73.76760563380282
19,0.6076990325342525,80.07246376811594,0.6661779351637397,61.79577464788732
20,0.6061986779624765,80.3623188405797,0.6560977034165826,67.0774647887324
