epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.8116,50,0.9259,11.11
2,0.6753,57.92,0.7229,37.17
3,0.5446,77.22,0.4573,96.16
4,0.4498,85.08,0.3416,96.16
5,0.3643,86.53,0.3342,96.45
6,0.3173,88.83,0.2302,96.75
7,0.2688,89.77,0.1725,98.7
8,0.2473,90.09,0.1629,96.99
9,0.2295,90.23,0.1178,98.64
10,0.1934,91.83,0.1,99
