Epoch,Loss,Learning Rate
1,0.7554566220539373,8.200000000000001e-06
2,0.10839996232492168,1.6400000000000002e-05
3,0.053295096927663176,2.46e-05
4,0.04590353605950751,3.2800000000000004e-05
5,0.043212008503515545,4.1e-05
6,0.04010469118905503,4.92e-05
7,0.03686287413101371,5.74e-05
8,0.03300688863254902,6.560000000000001e-05
9,0.03088016776231731,7.38e-05
10,0.03629989158816454,8.2e-05
11,0.032308671952838576,9.020000000000001e-05
12,0.03828398533528898,9.84e-05
13,0.025049206596322177,9.999974244960737e-05
14,0.027645556744551512,9.999870492096188e-05
15,0.03387592672711102,9.999687229443929e-05
16,0.022919381043033267,9.999424459918266e-05
17,0.026753422134078858,9.999082187697857e-05
18,0.031045631800846355,9.998660418225645e-05
19,0.023338113377643067,9.99815915820876e-05
20,0.02735141696544682,9.997578415618427e-05
21,0.0286045312177299,9.996918199689827e-05
22,0.03389085093285979,9.99617852092196e-05
23,0.0212697579139253,9.995359391077468e-05
24,0.024192742185621726,9.994460823182458e-05
25,0.02958969283485558,9.99348283152629e-05
26,0.019887043367617013,9.992425431661348e-05
27,0.023487481265896705,9.991288640402791e-05
28,0.027731747820791675,9.9900724758283e-05
29,0.020168894197700953,9.98877695727777e-05
30,0.024530422107157546,9.987402105353016e-05
31,0.025512371115704497,9.985947941917442e-05
32,0.03123230455306972,9.98441449009569e-05
33,0.01912880617352884,9.98280177427328e-05
34,0.02222555192619017,9.981109820096213e-05
35,0.027359636142713632,9.979338654470569e-05
36,0.018123961718207817,9.977488305562081e-05
37,0.021272178387223947,9.97555880279568e-05
38,0.026015247638541752,9.973550176855029e-05
39,0.018547150187148916,9.971462459682042e-05
40,0.022798270813371168,9.96929568447637e-05
41,0.02335702254800353,9.96704988569487e-05
42,0.029181643139298368,9.964725099051065e-05
43,0.017484659453990255,9.96232136151457e-05
44,0.02045219869739035,9.959838711310511e-05
45,0.025500667696000963,9.957277187918907e-05
46,0.01674674394563204,9.954636832074047e-05
47,0.01972565127014205,9.951917685763847e-05
48,0.024281244395618757,9.949119792229176e-05
49,0.017063804470547814,9.946243195963171e-05
50,0.021713324220533053,9.943287942710527e-05
51,0.022137760815051633,9.940254079466775e-05
52,0.027849628908059944,9.937141654477528e-05
53,0.016279176235335265,9.93395071723772e-05
54,0.0192484271076576,9.930681318490811e-05
55,0.0243308239690278,9.927333510227989e-05
56,0.01598531730677478,9.923907345687337e-05
57,0.01865077994354978,9.92040287935299e-05
58,0.022930866419678418,9.916820166954266e-05
59,0.016214540716624114,9.913159265464782e-05
60,0.020691989753508895,9.909420233101546e-05
61,0.021212088472278016,9.905603129324032e-05
62,0.026502958953198864,9.901708014833232e-05
63,0.015341270243658162,9.897734951570698e-05
64,0.018289968862607166,9.893684002717551e-05
65,0.02320037642493844,9.889555232693473e-05
66,0.01507638931194911,9.885348707155691e-05
67,0.017663258809323717,9.881064492997932e-05
68,0.02215642542237552,9.876702658349346e-05
69,0.015397726279887848,9.872263272573443e-05
70,0.019627881435132246,9.867746406266975e-05
71,0.02016729568471996,9.863152131258819e-05
72,0.025663379568424894,9.858480520608835e-05
73,0.015018000216336876,9.853731648606696e-05
74,0.01768806442709231,9.848905590770725e-05
75,0.022294605786844,9.844002423846674e-05
76,0.014636115960367933,9.839022225806515e-05
77,0.016704769015721068,9.833965075847198e-05
78,0.02159456110831986,9.828831054389388e-05
79,0.01500753436532871,9.823620243076193e-05
80,0.018972824912563694,9.818332724771857e-05
81,0.019083770662091853,9.812968583560452e-05
82,0.024877331673917247,9.807527904744533e-05
83,0.01437990278255467,9.802010774843784e-05
84,0.01695545187515275,9.796417281593642e-05
85,0.021540396934852185,9.790747513943905e-05
86,0.014200397355413837,9.785001562057309e-05
87,0.016208780668221595,9.779179517308111e-05
88,0.02117487260072333,9.77328147228061e-05
89,0.014202843414528704,9.767307520767701e-05
90,0.017985677597873912,9.761257757769367e-05
91,0.018387797652039586,9.755132279491172e-05
92,0.02376001882480412,9.74893118334274e-05
93,0.013752262727016719,9.742654567936187e-05
94,0.016099007220984233,9.736302533084573e-05
95,0.020707779935924563,9.729875179800304e-05
96,0.014097411750543227,9.723372610293525e-05
97,0.015444566904589898,9.716794927970497e-05
98,0.01996397395425181,9.710142237431957e-05
99,0.01371593616630246,9.703414644471448e-05
100,0.017202710738496448,9.696612256073633e-05
101,0.01793433573642155,9.689735180412613e-05
102,0.0228859380273739,9.682783526850182e-05
103,0.013244033870627968,9.675757405934103e-05
104,0.015313306650169558,9.66865692939635e-05
105,0.019666868750369403,9.661482210151317e-05
106,0.013326458709609763,9.654233362294047e-05
107,0.014563578947606246,9.646910501098395e-05
108,0.019122584850709067,9.639513743015202e-05
109,0.013332232543290025,9.632043205670449e-05
