epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.6158239489793778,64.4593461860855,0.2951175118884388,92.02127659574468
2,0.3411273753643036,84.26236378876781,0.24726180852619264,88.77068557919621
3,0.24825233419736226,88.558256496228,0.08937399602332592,97.34042553191489
4,0.217383152594169,89.41743503772004,0.1647840626142427,93.67612293144208
5,0.1775239601979653,91.24056999161778,0.06766124904394052,97.57683215130024
6,0.1544204701234897,91.01005867560771,0.15704363044285444,94.62174940898345
7,0.1455410675642391,91.82732606873428,0.10088269215181221,96.33569739952719
8,0.139649517784516,91.93210393964794,0.09049825101986776,96.92671394799055
9,0.1201312649746736,92.97988264878458,0.037716959215801905,98.93617021276596
10,0.12354205678993214,92.72841575859178,0.05528521893848796,98.10874704491725
