epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.9158474981784821,50.0,1.2759809041597756,11.11111111111111
2,0.8210803246498108,50.0,1.1219738527952907,11.11111111111111
3,0.7596197414398194,50.0,1.023962831640818,11.11111111111111
4,0.712915962934494,50.0,0.9430399364735707,11.11111111111111
5,0.6724964332580566,50.0,0.8539532509194799,11.11111111111111
6,0.6342269718647003,50.0,0.7781644169106541,11.11111111111111
7,0.5974600297212601,50.0,0.7277704822011741,11.415525114155251
8,0.556888620853424,56.64993726474278,0.6564519268920622,65.44901065449011
9,0.5171070206165314,75.4077791718946,0.6052704406789986,82.1917808219178
10,0.4727837830781937,83.12421580928482,0.5491167069917702,90.41095890410959
